ASVID	Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species	Function	Function_Group	Nutrition	Notes
ASV1	Eukaryota	Archaeplastida	Chlorophyta	Chlorophyceae	Sphaeropleales	Sphaeropleales_X	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10	Eukaryota	Opisthokonta	Metazoa	Platyhelminthes	Turbellaria	Rhabdocoela	NA	NA	flatworms	na	na	na
ASV100	Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Sinantherina	Sinantherina_socialis	rotifers	na	na	na
ASV1000	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Euglyphidae	Euglypha	NA	consumers	consumers	omnivore	na
ASV10000	Eukaryota	Alveolata	Ciliophora	Oligohymenophorea	Peritrichia_2	Operculariidae	Opercularia	Opercularia_microdiscum	consumers	consumers	omnivore	omnivore
ASV10001	Eukaryota	Amoebozoa	Conosa	Variosea	ATCC50593-Flamella-WIM80-lineage	Flamella-lineage	Flamella	Flamella_aegyptia	consumers	consumers	bacterivore	na
ASV10003	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10004	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10005	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10006	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10009	Eukaryota	Stramenopiles	Ochrophyta	Bacillariophyta	Bacillariophyta_X	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV1001	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10010	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV10011	Eukaryota	Amoebozoa	Lobosa	Tubulinea	Arcellinida	Arcellinida_X	Cryptodifflugia	NA	consumers	consumers	bacterivore	na
ASV10012	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10014	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Euglena	Euglena_satelles	mixotrophic	phototrophic	mixotrophic	na
ASV10015	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10016	Eukaryota	Alveolata	Ciliophora	Litostomatea	NA	NA	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV10017	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10018	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10019	Eukaryota	Amoebozoa	Conosa	Mycetozoa-Myxogastrea	Stemonitales-Physarales	Didymiaceae	Lepidoderma	Lepidoderma_tigrinum	consumers	consumers	bacterivore	na
ASV1002	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Neogregarinorida	Actinocephalidae	Ascogregarina	NA	animal_parasite	symbionts	animal_parasite	na
ASV10020	Eukaryota	Opisthokonta	Fungi	Ascomycota	NA	NA	NA	NA	na	na	na	na
ASV10021	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphitremida	Diplophrydaceae	Diplophrys	Diplophrys_sp.	consumers	consumers	bacterivore	na
ASV10022	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10023	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10024	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10025	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Trinematidae	Trinema	Trinema_enchelys	consumers	consumers	omnivore	na
ASV10026	Eukaryota	Stramenopiles	Ochrophyta	Phaeothamniophyceae	Phaeothamniales	Phaeothamniales_X	Phaeothamniales_XX	Phaeothamniales_XX_sp.	phototrophic	phototrophic	phototrophic	na
ASV10027	Eukaryota	Excavata	Discoba	Kinetoplastea	Neobodonida	Neobodonidae	Neobodo	Neobodo_sp.	consumers	consumers	bacterivore	na
ASV10028	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10029	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV1003	Eukaryota	Alveolata	Ciliophora	Litostomatea	NA	NA	NA	NA	consumers	consumers	eukaryvore	eukaryvore
ASV10030	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10031	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10032	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	NA	NA	consumers	consumers	bacterivore	na
ASV10033	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10034	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV10035	Eukaryota	Stramenopiles	Pseudofungi	Oomycota	Oomycota_X	Saprolegniales	NA	NA	consumers	consumers	pathogen	na
ASV10036	Eukaryota	Excavata	Discoba	Euglenida	Euglenophyceae	Euglenaceae	Trachelomonas	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10037	Eukaryota	Excavata	Discoba	Heterolobosea	NA	NA	NA	NA	na	na	na	na
ASV10038	Eukaryota	Amoebozoa	Conosa	Mycetozoa-Myxogastrea	Stemonitales-Physarales	Physaraceae	NA	NA	consumers	consumers	bacterivore	na
ASV10039	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV1004	Eukaryota	Alveolata	Dinoflagellata	NA	NA	NA	NA	NA	na	na	na	na
ASV10040	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10041	Eukaryota	Opisthokonta	Metazoa	Nematoda	Chromadorea	Chromadorea_X	NA	NA	nematodes	na	na	na
ASV10042	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10043	Eukaryota	Stramenopiles	Sagenista	Labyrinthulomycetes	Amphifilida	Amphifilaceae	Fibrophrys	Fibrophrys_sp.	consumers	consumers	bacterivore	na
ASV10044	Eukaryota	Amoebozoa	Conosa	NA	NA	NA	NA	NA	consumers	consumers	bacterivore	na
ASV10045	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	NA	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10046	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10047	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
ASV10048	Eukaryota	Stramenopiles	Opalozoa	Bicoecea	Pseudodendromonadales	Pseudodendromonadales_X	Adriamonas	Adriamonas_peritocrescens	consumers	consumers	bacterivore	na
ASV10049	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV1005	Eukaryota	Amoebozoa	Lobosa	Lobosa_X	Himatismenida	Cochliopodiidae	Cochliopodium	Cochliopodium_plurinucleolum	consumers	consumers	bacterivore	na
ASV10050	Eukaryota	Hacrobia	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadales_X	Cryptomonas	Cryptomonas_parapyrenoidifera	mixotrophic	phototrophic	mixotrophic	na
ASV10051	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10052	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10053	Eukaryota	Opisthokonta	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10054	Eukaryota	Hacrobia	Haptophyta	Prymnesiophyceae	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis_globosa	phototrophic	phototrophic	phototrophic	na
ASV10055	Eukaryota	Stramenopiles	Ochrophyta	NA	NA	NA	NA	NA	na	na	na	na
ASV10056	Eukaryota	Alveolata	Ciliophora	Spirotrichea	Strombidiida	Strombidiidae_M	Strombidiidae_M_X	Strombidiidae_M_X_sp.	mixotrophic	phototrophic	mixotrophic	na
ASV10057	Eukaryota	Opisthokonta	Metazoa	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV10058	Eukaryota	Excavata	Discoba	Euglenida	Strombidiida	Phacaceae	Phacus	Phacus_carinatus	mixotrophic	phototrophic	mixotrophic	na
ASV10059	Eukaryota	Amoebozoa	NA	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV1006	Eukaryota	Amoebozoa	Lobosa	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV10060	Eukaryota	Hacrobia	Telonemia	Telonemia_X	Strombidiida	Telonemia-Group-2	Telonema-Group-2	Telonema_antarcticum	consumers	consumers	bacterivore	na
ASV10062	Eukaryota	Alveolata	Apicomplexa	Gregarinomorphea	Strombidiida	Actinocephalidae	NA	NA	animal_parasite	symbionts	animal_parasite	na
ASV10064	Eukaryota	Opisthokonta	Metazoa	NA	Strombidiida	NA	NA	NA	na	na	na	na
ASV10065	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Strombidiida	Chrysophyceae_Clade-E	NA	NA	mixotrophic	phototrophic	mixotrophic	na
ASV10066	Eukaryota	Rhizaria	Cercozoa	Endomyxa	Strombidiida	Thalassomyxa-lineage	Thalassomyxa-lineage_X	Thalassomyxa-lineage_X_sp.	consumers	consumers	eukaryvore	na
ASV10067	Eukaryota	Stramenopiles	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10068	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV10069	Eukaryota	Opisthokonta	Fungi	NA	NA	NA	NA	NA	na	na	na	na
ASV1007	Eukaryota	Alveolata	Dinoflagellata	Dinophyceae	Peridiniales	NA	NA	NA	phototrophic	phototrophic	phototrophic	na
ASV10070	Eukaryota	Stramenopiles	Ochrophyta	Chrysophyceae	Chrysophyceae_X	NA	NA	NA	na	na	na	na
ASV10071	Eukaryota	Alveolata	NA	NA	NA	NA	NA	NA	na	na	na	na
ASV10072	Eukaryota	Rhizaria	Cercozoa	Filosa-Imbricatea	Euglyphida	Trinematidae	Trinematidae_X	Trinematidae_X_sp.	consumers	consumers	omnivore	na
ASV10074	Eukaryota	Opisthokonta	Metazoa	NA	NA	NA	NA	NA	na	na	na	na
