	Ant	BYL33	BYL48	LP	MKIS	N3	P1	P3	SP	U1	U2	UP	V1	V2	WH	WHIS	CBP12	CBP14	CBP1	CBP3	CBP6	CBP7	CBP9	KJ11	KJ15	KJ17	KJ22	KJ25	KJ32	KJ33	KJ5	WL
ASV1	58	685	667	7	14	1411	669	461	1	76	68	12	148	3142	36	23	2681	101	17	1112	100	271	15930	918	369	486	179	460	13332	1193	1312	22
ASV10	1335	626	43	1650	79	0	0	6	1877	30	44	2066	0	0	768	204	1087	794	1294	1331	1009	873	1064	105	569	211	694	1489	167	539	383	1302
ASV100	82	120	14	3	0	0	0	0	28	9	20	0	0	0	153	0	772	254	633	1220	285	482	931	210	25	45	548	1363	82	141	271	2032
ASV10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	4	0	0	2	0	0	0	5	2	0	0	0	3
ASV10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	6	3	0	0	0	0	13	0	0	5	0
ASV10003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	12	0	0	18	0	0	0	0	0	5	0	0	0	0
ASV10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	9
ASV10005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	13	8	0	0	0	0	0	0	0	0	0
ASV10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	21	0	0	0
ASV10007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
ASV10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0	0	7	0
ASV10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	18	0	12	0	0	0	13	0	0
ASV10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	12	0	0	0	0	0	0
ASV10011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	8	0	0	0	0	0	0
