	Ant	BYL33	BYL48	LP	MKIS	N3	P1	P3	SP	U1	U2	UP	V1	V2	WH	WHIS	CBP12	CBP14	CBP1	CBP3	CBP6	CBP7	CBP9	KJ11	KJ15	KJ17	KJ22	KJ25	KJ32	KJ33	KJ5	WL																						
ASV1	0	58	594	0	0	121	50	42	0	6301	926	22	4560	200	0	0	100	206	85	0	229	849	2018	15986	19953	25422	321	1453	3024	1493	3	157																						
ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4140	453	0	0	0	1043	5566	0	0	0	0	0	0	0	0	4844																						
ASV100	0	75	254	0	0	22	30	6	7	7	0	0	0	7	25	0	78	28	363	544	20	144	80	0	0	38	135	136	0	47	50	421																						
ASV1000	0	0	0	141	0	0	0	0	0	2	10	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	7	3	0	0	0	0																						
ASV10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV10003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV10004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV10005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
ASV1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	5	77	0	0	0	0	0	0	0	0	0	0	0	0	57																						
ASV10010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						
