	new_pond	alt_pond	region	habitat	water_body	biome	vegetation_type	latitude_scale	latitude	longitude	elevation	year	water_temp	water_pH	water_conductivity	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp
KJ32	KJ1	KJ_P1	1_kuujjuarapik	pond	pond	taiga	spruce_forest	55-59	55.283	-77.739	0	2017	19.63	7.27	60.3	-2.24	-0.96	10.82	-3.93	-2.8
KJ33	KJ2	KJ_L1	1_kuujjuarapik	lake	lake	taiga	spruce_forest	55-59	55.286	-77.737	0	2017	18.97	7.95	48	-2.24	-0.96	10.82	-3.93	-2.8
KJ17	KJ3	KJ_P2	1_kuujjuarapik	pond	pond	taiga	spruce_forest	55-59	55.314	-77.735	0	2017	20.83	7.48	65.7	-2.24	-0.96	10.82	-3.93	-2.8
KJ5	KJ4	KJ_P3	1_kuujjuarapik	pond	pond	taiga	spruce_forest	55-59	55.323	-77.715	0	2017	17.33	7.16	50.7	-2.24	-0.96	10.82	-3.93	-2.8
KJ11	KJ5	KJ_P4	1_kuujjuarapik	small_pond	pond	taiga	spruce_forest	55-59	55.326	-77.717	0	2017	17	6.7	38	-2.24	-0.96	10.82	-3.93	-2.8
KJ22	KJ6	KJ_P5	1_kuujjuarapik	pond	pond	taiga	spruce_forest	55-59	55.333	-77.697	0	2017	19.6	9.01	70.7	-2.24	-0.96	10.82	-3.93	-2.8
KJ25	KJ7	KJ_P6	1_kuujjuarapik	pond	pond	taiga	spruce_forest	55-59	55.334	-77.697	0	2017	16.57	7.72	109	-2.24	-0.96	10.82	-3.93	-2.8
KJ15	KJ8	KJ_P7	1_kuujjuarapik	pond	pond	taiga	spruce_forest	55-59	55.361	-77.651	0	2017	14.8	8.83	263.3	-2.24	-0.96	10.82	-3.93	-2.8
N3	UM1	UM_L1	2_umiujaq	lake_inflow	lake	taiga	shrub_vegetation_tundra	55-59	56.155	-76.308	0	2009	17.97	6.93	36.9	-2.98	-3.15	9.58	-3.93	-2.8
U2	UM2	UM_P1	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.62	-76.626	154	2009	17.57	7.06	57.5	-2.98	-3.15	9.58	-3.93	-2.8
U1	UM3	UM_P2	2_umiujaq	small_thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.622	-76.601	237	2009	17.77	7.37	36.6	-2.98	-3.15	9.58	-3.93	-2.8
V2	UM4	UM_P3	2_umiujaq	thermokarst_pond	pond	taiga	shrub_vegetation_tundra	55-59	56.682	-76.707	406	2009	16.2	5.9	29.8	-2.98	-3.15	9.58	-3.93	-2.8
UP	UM5	UM_RP1	2_umiujaq	rock_pool	rock_pool	taiga	shrub_vegetation_tundra	55-59	56.709	-76.616	30	2009	15.5	9.66	112.5	-2.98	-3.15	9.58	-3.93	-2.8
