OTUID	region	latitude	longitude	year	water_temp	water_pH	conductivity	elevation	ave_ann_temp	sample_year_temp	sample_month_temp	sample_year_ground_temp	average_ground_temp	habitat	water_body	pond_area	mat_colour	biome	vegetation_type
KJ32A	1_kuujjuarapik	55.283	-77.739	2017	19.6	7.25	60	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	15x20	NA	taiga	spruce_forest
KJ32B	1_kuujjuarapik	55.283	-77.739	2017	19.6	7.23	60	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	15x20	NA	taiga	spruce_forest
KJ32C	1_kuujjuarapik	55.283	-77.739	2017	19.7	7.33	61	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	15x20	NA	taiga	spruce_forest
KJ33B	1_kuujjuarapik	55.284	-77.737	2017	19.1	7.9	49	NA	-2.243	-0.958	10.817	-3.925	-2.798	lake	lake	100x100	NA	taiga	spruce_forest
KJ33A	1_kuujjuarapik	55.287	-77.736	2017	18.7	8.03	47	NA	-2.243	-0.958	10.817	-3.925	-2.798	lake	lake	100x100	NA	taiga	spruce_forest
KJ33C	1_kuujjuarapik	55.287	-77.737	2017	19.1	7.91	48	NA	-2.243	-0.958	10.817	-3.925	-2.798	lake	lake	100x100	NA	taiga	spruce_forest
KJ17A	1_kuujjuarapik	55.314	-77.735	2017	21.1	7.51	63	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	NA	NA	taiga	spruce_forest
KJ17C	1_kuujjuarapik	55.314	-77.734	2017	20.7	7.47	67	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	NA	NA	taiga	spruce_forest
KJ17Bi	1_kuujjuarapik	55.314	-77.735	2017	20.7	7.47	67	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	NA	NA	taiga	spruce_forest
KJ17Bii	1_kuujjuarapik	55.314	-77.735	2017	20.7	7.47	67	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	NA	NA	taiga	spruce_forest
KJ5C	1_kuujjuarapik	55.323	-77.715	2017	18.1	7.31	56	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	18x6	NA	taiga	spruce_forest
KJ5A	1_kuujjuarapik	55.323	-77.715	2017	15.9	6.61	40	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	18x6	NA	taiga	spruce_forest
KJ5B	1_kuujjuarapik	55.323	-77.715	2017	18	7.57	56	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	18x6	NA	taiga	spruce_forest
KJ11A	1_kuujjuarapik	55.326	-77.717	2017	17	6.73	38	NA	-2.243	-0.958	10.817	-3.925	-2.798	small_pond	pond	2x8	NA	taiga	spruce_forest
KJ11B	1_kuujjuarapik	55.326	-77.717	2017	17	6.73	38	NA	-2.243	-0.958	10.817	-3.925	-2.798	small_pond	pond	2x8	NA	taiga	spruce_forest
KJ11C	1_kuujjuarapik	55.326	-77.717	2017	17	6.63	38	NA	-2.243	-0.958	10.817	-3.925	-2.798	small_pond	pond	2x8	NA	taiga	spruce_forest
KJ22A21	1_kuujjuarapik	55.333	-77.696	2017	20.4	8.95	65	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	20x10	NA	taiga	spruce_forest
KJ22B21	1_kuujjuarapik	55.333	-77.696	2017	19.3	9.37	72	NA	-2.243	-0.958	10.817	-3.925	-2.798	pond	pond	20x10	NA	taiga	spruce_forest
